pole_id,latitude,longitude,height_ft,has_streetlight,subtype
1384454,47.6380228,-122.4021220,19,Yes,1
1384455,47.6385414,-122.4018925,47,Yes,1
1398756,47.6385625,-122.4024072,19,Yes,1
1384449,47.6376938,-122.4039943,19,Yes,1
1398752,47.6381440,-122.4033836,19,Yes,1
1398753,47.6383480,-122.4031031,19,Yes,1
1398754,47.6385441,-122.4028375,19,Yes,1
1398765,47.6382613,-122.4040205,19,Yes,1
1398771,47.6381756,-122.4059487,19,Yes,1
1398770,47.6378881,-122.4057617,19,Yes,1
1370392,47.4805326,-122.3444514,50,Yes,1
1370388,47.4804833,-122.3420347,47,Yes,1
1370386,47.4807093,-122.3417448,47,Yes,1
1370403,47.4797245,-122.3417470,47,Yes,1
1370401,47.4796923,-122.3429277,47,Yes,1
1370407,47.4789195,-122.3417497,47,Yes,1
1370408,47.4789224,-122.3412292,50,Yes,1
1399241,47.4791163,-122.3402340,50,Yes,1
1399207,47.4781150,-122.3402687,47,Yes,1
1399003,47.4781119,-122.3412364,47,Yes,1
1399004,47.4781355,-122.3417571,47,Yes,1
1370411,47.4788999,-122.3423986,50,Yes,1
1370413,47.4788905,-122.3434540,50,Yes,1
1370415,47.4787903,-122.3443900,50,Yes,1
1399008,47.4780937,-122.3441092,47,Yes,1
1399006,47.4781026,-122.3429695,47,Yes,1
1399002,47.4776354,-122.3417496,47,Yes,1
1399048,47.4770718,-122.3422429,47,Yes,1
1399190,47.4762181,-122.3398944,47,Yes,1
1399117,47.4762040,-122.3417261,47,Yes,1
1399118,47.4756558,-122.3417374,47,Yes,1
1399116,47.4758857,-122.3425113,45,Yes,1
1352900,47.7340734,-122.3182644,60,Yes,1
1352879,47.7340798,-122.3190565,65,Yes,1
1349167,47.7346260,-122.3187782,50,Yes,1
1321721,47.6276364,-122.3456571,29,Yes,1
1349163,47.7346198,-122.3202290,50,Yes,1
1349160,47.7356449,-122.3202656,50,Yes,1
1322000,47.6253144,-122.3515932,35,Yes,1
1321765,47.6281291,-122.3540050,29,Yes,1
1321627,47.6319499,-122.3525606,35,Yes,1
1360791,47.6253375,-122.3461664,60,Yes,1
1321978,47.6256049,-122.3514207,33,Yes,1
1321779,47.6252853,-122.3489761,999,Yes,1
1377315,47.5536600,-122.3570237,50,Yes,1
1377125,47.5489321,-122.3610830,60,Yes,1
1345370,47.5459985,-122.3655869,50,Yes,1
1380858,47.5436476,-122.3649556,50,Yes,1
1380659,47.5429286,-122.3571271,55,Yes,1
1380764,47.5424655,-122.3610947,40,Yes,1
1380840,47.5400389,-122.3619391,50,Yes,1
1380647,47.5449971,-122.3570844,50,Yes,1
1380769,47.5457727,-122.3624296,50,Yes,1
1328819,47.5073447,-122.3021502,45,Yes,1
1328833,47.5050888,-122.3021608,40,Yes,1
1328845,47.5046128,-122.3021705,47,Yes,1
1328839,47.5035708,-122.3026533,40,Yes,1
1328738,47.5035210,-122.3037514,47,Yes,1
1328517,47.5029322,-122.3051106,65,Yes,1
1363867,47.6851920,-122.3109673,47,Yes,1
1363828,47.6849213,-122.3103822,60,Yes,1
1363806,47.6851523,-122.3099007,50,Yes,1
1363804,47.6857736,-122.3099033,45,Yes,1
1363803,47.6861773,-122.3099132,47,Yes,1
1363802,47.6864222,-122.3099189,50,Yes,1
1363799,47.6859387,-122.3089923,45,Yes,1
1363798,47.6855445,-122.3089824,45,Yes,1
1363797,47.6852154,-122.3089665,45,Yes,1
1359768,47.7273458,-122.3356391,50,Yes,1
1359668,47.7336429,-122.3353886,50,Yes,1
1359669,47.7332293,-122.3353776,50,Yes,1
1359670,47.7327011,-122.3353659,50,Yes,1
1359673,47.7317715,-122.3353756,50,Yes,1
1359674,47.7313691,-122.3353694,50,Yes,1
1359552,47.7304109,-122.3355096,50,Yes,1
1400828,47.5149439,-122.3233935,55,Yes,1
1400831,47.5137817,-122.3233903,70,Yes,1
1400782,47.5137910,-122.3226823,65,Yes,1
1400832,47.5131851,-122.3233935,65,Yes,1
1400834,47.5123391,-122.3233896,65,Yes,1
1400837,47.5106808,-122.3233988,65,Yes,1
1400755,47.5120392,-122.3211649,40,Yes,1
1400855,47.5130202,-122.3207645,45,Yes,1
1400780,47.5137869,-122.3215628,60,Yes,1
1400779,47.5137879,-122.3210333,60,Yes,1
1400778,47.5137816,-122.3204393,60,Yes,1
1400936,47.5170303,-122.3204279,60,Yes,1
1379573,47.5470510,-122.3976480,45,Yes,1
1379976,47.5485460,-122.3950595,50,Yes,1
1379978,47.5481907,-122.3950659,45,Yes,1
1379981,47.5478682,-122.3950748,50,Yes,1
1379994,47.5468483,-122.3950895,45,Yes,1
1379996,47.5478772,-122.3959190,35,Yes,1
1379991,47.5472066,-122.3959297,45,Yes,1
1379992,47.5468526,-122.3959017,50,Yes,1
1379792,47.5536554,-122.3935989,50,Yes,1
1379549,47.5535530,-122.3929754,50,Yes,1
1379534,47.5539212,-122.3922681,40,Yes,1
1379669,47.5532077,-122.3923278,40,Yes,1
1331350,47.5701957,-122.2808051,50,Yes,1
1332791,47.4921631,-122.2496296,50,Yes,1
1332796,47.4919993,-122.2513913,50,Yes,1
1344790,47.4912199,-122.2540777,45,Yes,1
1391423,47.7558754,-122.3145156,55,Yes,1
1384233,47.7560123,-122.3239679,35,Yes,1
1391420,47.7558504,-122.3136805,30,Yes,1
1391456,47.7570687,-122.3175349,50,Yes,1
1391458,47.7577283,-122.3175408,50,Yes,1
1391462,47.7590435,-122.3175354,50,Yes,1
1402150,47.7558487,-122.3154718,40,Yes,1
1399114,47.4758339,-122.3437838,50,Yes,1
1399182,47.4749985,-122.3403849,45,Yes,1
1399121,47.4749843,-122.3417203,47,Yes,1
1399184,47.4749904,-122.3413149,50,Yes,1
1399151,47.4741431,-122.3403787,45,Yes,1
1399124,47.4741537,-122.3416449,45,Yes,1
1399119,47.4750118,-122.3422382,45,Yes,1
1399096,47.4745055,-122.3432889,47,Yes,1
1322538,47.7421652,-122.3438668,47,Yes,1
1404720,47.6602684,-122.3602191,45,Yes,1
1404721,47.6590144,-122.3602242,45,Yes,1
1404706,47.6578429,-122.3601435,45,Yes,1
1404547,47.6562952,-122.3602016,50,Yes,1
1404545,47.6562794,-122.3597414,45,Yes,1
1391967,47.6556331,-122.3597717,50,Yes,1
1391963,47.6548063,-122.3597590,45,Yes,1
1391923,47.6544813,-122.3602315,55,Yes,1
1391924,47.6542111,-122.3599494,60,Yes,1
1404727,47.6611264,-122.3594942,50,Yes,1
1404726,47.6607449,-122.3595024,50,Yes,1
1404725,47.6604269,-122.3595009,50,Yes,1
1404724,47.6601588,-122.3595017,45,Yes,1
1404729,47.6601571,-122.3589438,35,Yes,1
1322533,47.7415005,-122.3432548,55,Yes,1
1322531,47.7414935,-122.3424786,50,Yes,1
1322763,47.7432955,-122.3439048,45,Yes,1
1322504,47.7431847,-122.3425459,50,Yes,1
1322675,47.7484140,-122.3399988,47,Yes,1
1322660,47.7482556,-122.3386253,40,Yes,1
1322662,47.7475260,-122.3386017,40,Yes,1
1322661,47.7469559,-122.3384015,55,Yes,1
1332587,47.4954513,-122.2515296,40,Yes,1
1332987,47.4953111,-122.2490741,60,Yes,1
1332688,47.4946034,-122.2490999,50,Yes,1
1332993,47.4942507,-122.2491072,50,Yes,1
1332687,47.4937983,-122.2491104,55,Yes,1
1332996,47.4928714,-122.2491489,50,Yes,1
1343403,47.4938483,-122.2504053,45,Yes,1
1332970,47.4936000,-122.2562000,60,Yes,1
1384756,47.6701097,-122.3729836,50,Yes,1
1384774,47.6716788,-122.3691951,50,Yes,1
1384775,47.6716812,-122.3698057,50,Yes,1
1384776,47.6716814,-122.3703785,50,Yes,1
1384777,47.6716842,-122.3708349,45,Yes,1
1384779,47.6716828,-122.3717016,50,Yes,1
1384780,47.6716840,-122.3721474,50,Yes,1
1384781,47.6716841,-122.3725134,50,Yes,1
1384818,47.6716855,-122.3729715,50,Yes,1
1384782,47.6716852,-122.3733744,47,Yes,1
1384957,47.6716870,-122.3741928,45,Yes,1
1384958,47.6716876,-122.3747949,47,Yes,1
1384960,47.6716905,-122.3752089,47,Yes,1
1384961,47.6716894,-122.3756143,50,Yes,1
1384668,47.6716773,-122.3675982,50,Yes,1
1384666,47.6716778,-122.3666193,45,Yes,1
1384669,47.6716799,-122.3682070,50,Yes,1
1384730,47.6687697,-122.3663417,33,Yes,1
1384752,47.6690755,-122.3734079,40,Yes,1
1384758,47.6698931,-122.3734003,40,Yes,1
1379386,47.5418122,-122.3257110,65,Yes,1
1317874,47.5834553,-122.3171978,50,Yes,1
1410761,47.6494120,-122.3821511,40,Yes,1
1367845,47.5137990,-122.3927279,19,Yes,1
1367849,47.5130384,-122.3929811,19,Yes,1
1367508,47.5126829,-122.3930729,19,Yes,1
1409481,47.6496979,-122.3775683,50,Yes,1
1367831,47.5109753,-122.3919154,19,Yes,1
1367523,47.5164760,-122.3935235,19,Yes,1
1367537,47.5172978,-122.3964907,45,Yes,1
1367544,47.5169560,-122.3964972,45,Yes,1
1341168,47.6825937,-122.2903512,35,Yes,1
1341236,47.6816163,-122.2826640,30,Yes,1
1341022,47.6787617,-122.2882775,45,Yes,1
1341068,47.6776852,-122.2870261,45,Yes,1
1341026,47.6772656,-122.2882344,40,Yes,1
1338957,47.6758463,-122.2826070,40,Yes,1
1359202,47.5458346,-122.3280559,35,Yes,1
1367539,47.5165100,-122.3964990,40,Yes,1
1367536,47.5158069,-122.3958389,45,Yes,1
1346956,47.5222977,-122.3261292,45,Yes,1
1346955,47.5222959,-122.3257432,55,Yes,1
1346954,47.5226420,-122.3257342,45,Yes,1
1346969,47.5230236,-122.3257296,95,Yes,1
1346812,47.5238792,-122.3271521,50,Yes,1
1346810,47.5238790,-122.3261603,50,Yes,1
1346809,47.5238765,-122.3257190,60,Yes,1
1346805,47.5238718,-122.3250691,60,Yes,1
1346804,47.5238691,-122.3245131,60,Yes,1
1346953,47.5230345,-122.3245196,50,Yes,1
1346970,47.5222885,-122.3250211,55,Yes,1
1346971,47.5222933,-122.3244127,45,Yes,1
1346974,47.5220184,-122.3250188,50,Yes,1
1346972,47.5213686,-122.3250157,45,Yes,1
1346973,47.5210447,-122.3250064,45,Yes,1
1346851,47.5207096,-122.3250144,50,Yes,1
1346852,47.5203921,-122.3250093,47,Yes,1
1346853,47.5200731,-122.3250124,50,Yes,1
1346855,47.5194246,-122.3250113,50,Yes,1
1344791,47.4909701,-122.2537253,50,Yes,1
1332855,47.4910941,-122.2541800,50,Yes,1
1332990,47.4906330,-122.2542767,50,Yes,1
1332983,47.4899387,-122.2542924,50,Yes,1
1344794,47.4906812,-122.2531152,50,Yes,1
1332631,47.4891549,-122.2505286,45,Yes,1
1395103,47.5808379,-122.3781539,40,Yes,1
1395209,47.5809365,-122.3772631,35,Yes,1
1395107,47.5802269,-122.3792380,55,Yes,1
1395113,47.5793425,-122.3787383,50,Yes,1
1395026,47.5797946,-122.3781654,47,Yes,1
1395101,47.5802279,-122.3781629,45,Yes,1
1395225,47.5793379,-122.3775484,50,Yes,1
1395223,47.5799378,-122.3770889,50,Yes,1
1395029,47.5787679,-122.3781849,47,Yes,1
1395031,47.5780802,-122.3781940,50,Yes,1
1395115,47.5784972,-122.3792587,50,Yes,1
1395047,47.5784869,-122.3771114,45,Yes,1
1395046,47.5780781,-122.3771206,45,Yes,1
1395043,47.5773577,-122.3771218,47,Yes,1
1395044,47.5773708,-122.3776138,45,Yes,1
1395033,47.5773683,-122.3782122,45,Yes,1
1336928,47.5746662,-122.3015971,35,Yes,1
1336641,47.5727966,-122.2940492,30,Yes,1
1336813,47.5728356,-122.2937867,14,Yes,1
1338261,47.5681668,-122.2972639,35,Yes,1
1308836,47.5731375,-122.3016427,55,Yes,1
1336833,47.5718173,-122.2970775,33,Yes,1
1336943,47.5739286,-122.2970393,33,Yes,1
1376305,47.7536185,-122.3694215,19,Yes,1
1376321,47.7538344,-122.3687955,19,Yes,1
1404722,47.6594544,-122.3595108,47,Yes,1
1404703,47.6589048,-122.3595094,50,Yes,1
1404732,47.6589031,-122.3589504,47,Yes,1
1404702,47.6586042,-122.3595143,47,Yes,1
1404650,47.6580409,-122.3595183,47,Yes,1
1404647,47.6577883,-122.3595156,50,Yes,1
1366021,47.6805178,-122.3766246,40,Yes,1
1366022,47.6802411,-122.3766236,40,Yes,1
1366346,47.6794874,-122.3765793,35,Yes,1
1398736,47.6450823,-122.4048936,19,Yes,1
1398799,47.6395829,-122.4052937,19,Yes,1
1398513,47.6399616,-122.3984222,50,Yes,1
1359888,47.7330558,-122.3413942,50,Yes,1
1359683,47.7326962,-122.3408035,50,Yes,1
1359889,47.7326826,-122.3413933,45,Yes,1
1359686,47.7322522,-122.3413817,40,Yes,1
1359684,47.7322579,-122.3407926,50,Yes,1
1359687,47.7319790,-122.3413797,50,Yes,1
1359690,47.7316842,-122.3407718,50,Yes,1
1359851,47.7315725,-122.3413638,45,Yes,1
1359863,47.7312764,-122.3407812,50,Yes,1
1359852,47.7311615,-122.3413604,40,Yes,1
1359861,47.7305785,-122.3407763,40,Yes,1
1359859,47.7300771,-122.3409993,45,Yes,1
1359858,47.7297481,-122.3409929,50,Yes,1
1359856,47.7290940,-122.3409983,50,Yes,1
1359955,47.7286162,-122.3409758,45,Yes,1
1359685,47.7322588,-122.3401734,50,Yes,1
1359692,47.7311807,-122.3397425,40,Yes,1
1359864,47.7309538,-122.3397452,50,Yes,1
1388374,47.7305505,-122.3397360,45,Yes,1
1388373,47.7300790,-122.3397268,45,Yes,1
1359865,47.7294237,-122.3397249,45,Yes,1
1388371,47.7290883,-122.3397166,45,Yes,1
1359954,47.7286158,-122.3403590,50,Yes,1
1366348,47.6793274,-122.3766159,40,Yes,1
1366349,47.6789902,-122.3766184,40,Yes,1
1366226,47.6784362,-122.3766157,40,Yes,1
1366227,47.6781563,-122.3766174,40,Yes,1
1366228,47.6778864,-122.3766130,40,Yes,1
1386755,47.6776708,-122.3766138,40,Yes,1
1386761,47.6770306,-122.3766127,40,Yes,1
1386762,47.6767697,-122.3766130,40,Yes,1
1386763,47.6764132,-122.3766075,50,Yes,1
1386764,47.6762847,-122.3765520,40,Yes,1
1386766,47.6760566,-122.3760500,35,Yes,1
1366229,47.6778638,-122.3760915,47,Yes,1
1386756,47.6781755,-122.3761009,47,Yes,1
1305634,47.6067735,-122.3028730,32,Yes,1
1305094,47.6070412,-122.3026739,32,Yes,1
1305076,47.6065647,-122.3026473,32,Yes,1
1305099,47.6062509,-122.3026766,32,Yes,1
1305630,47.6060879,-122.3028812,32,Yes,1
1384759,47.6702719,-122.3733972,40,Yes,1
1305628,47.6057131,-122.3028775,35,Yes,1
1305100,47.6061070,-122.3026769,35,Yes,1
1305539,47.6055127,-122.3026428,33,Yes,1
1305289,47.6052702,-122.3028395,35,Yes,1
1305545,47.6050932,-122.3025093,35,Yes,1
1305199,47.6048521,-122.3026472,35,Yes,1
1305627,47.6055837,-122.3028702,14,Yes,1
1305293,47.6042748,-122.3031819,50,Yes,1
1384760,47.6705352,-122.3733935,40,Yes,1
1384762,47.6710096,-122.3733931,40,Yes,1
1384814,47.6727216,-122.3734007,40,Yes,1
1384862,47.6734521,-122.3733921,40,Yes,1
1384888,47.6739231,-122.3733932,40,Yes,1
1384889,47.6741805,-122.3733950,40,Yes,1
1309779,47.6507219,-122.3453885,50,Yes,1
1309600,47.6502538,-122.3447918,60,Yes,1
1309958,47.6497915,-122.3454880,45,Yes,1
1309579,47.6497133,-122.3449942,35,Yes,1
1390488,47.6489485,-122.3450622,35,Yes,1
1390386,47.6488156,-122.3451087,65,Yes,1
1390387,47.6484985,-122.3454826,47,Yes,1
1390389,47.6483858,-122.3447736,50,Yes,1
1309948,47.6536983,-122.3447580,55,Yes,1
1309949,47.6535536,-122.3447553,55,Yes,1
1309689,47.6510423,-122.3475500,80,Yes,1
1309683,47.6514207,-122.3459106,40,Yes,1
1317350,47.6650825,-122.3325122,50,Yes,1
1318543,47.6650857,-122.3331327,50,Yes,1
1318747,47.6650875,-122.3335776,50,Yes,1
1318748,47.6652893,-122.3336106,35,Yes,1
1318749,47.6655433,-122.3336171,50,Yes,1
1394637,47.6412776,-122.3467795,50,Yes,1
1394819,47.6412725,-122.3464230,30,Yes,1
1394636,47.6410171,-122.3466909,50,Yes,1
1394818,47.6410106,-122.3463200,35,Yes,1
1394804,47.6407256,-122.3461941,35,Yes,1
1394635,47.6406976,-122.3465509,50,Yes,1
1394602,47.6403959,-122.3464971,50,Yes,1
1394603,47.6401109,-122.3462802,50,Yes,1
1394634,47.6400467,-122.3463079,35,Yes,1
1394633,47.6399412,-122.3461900,35,Yes,1
1404369,47.6445386,-122.3459927,35,Yes,1
1394728,47.6437595,-122.3458163,50,Yes,1
1394729,47.6435344,-122.3456211,50,Yes,1
1394727,47.6432708,-122.3453960,45,Yes,1
1394817,47.6402341,-122.3459775,40,Yes,1
1394806,47.6400496,-122.3458886,35,Yes,1
1394807,47.6397736,-122.3457457,35,Yes,1
1404370,47.6442040,-122.3451724,19,Yes,1
1404330,47.6439075,-122.3449122,35,Yes,1
1394714,47.6428178,-122.3450055,55,Yes,1
1404433,47.6417187,-122.3451873,35,Yes,1
1404432,47.6414139,-122.3449472,40,Yes,1
2494990,47.6398851,-122.3517801,10,Yes,1
1394827,47.6398845,-122.3515852,10,Yes,1
1394828,47.6398823,-122.3523783,10,Yes,1
1394829,47.6398798,-122.3525606,10,Yes,1
1394872,47.6400066,-122.3525640,10,Yes,1
1394873,47.6400067,-122.3523750,10,Yes,1
2494989,47.6400080,-122.3517813,10,Yes,1
1394874,47.6400091,-122.3515857,10,Yes,1
1328801,47.5077162,-122.3046577,60,Yes,1
1328625,47.5073490,-122.3044900,60,Yes,1
1328513,47.5065326,-122.3048255,47,Yes,1
1328508,47.5064802,-122.3041297,65,Yes,1
1328511,47.5065432,-122.3054929,47,Yes,1
1363845,47.6867310,-122.3115837,50,Yes,1
1363843,47.6866185,-122.3119910,35,Yes,1
1363840,47.6854151,-122.3120311,40,Yes,1
1363864,47.6863049,-122.3109901,47,Yes,1
1363866,47.6855234,-122.3109938,47,Yes,1
1328648,47.5082823,-122.3039862,50,Yes,1
1328637,47.5071227,-122.3027251,40,Yes,1
1400389,47.7493602,-122.3703217,20,Yes,1
1400390,47.7489661,-122.3678944,20,Yes,1
1400393,47.7493227,-122.3684519,20,Yes,1
1366344,47.6794848,-122.3760734,50,Yes,1
1400381,47.7496081,-122.3678476,20,Yes,1
1386816,47.6787616,-122.3729326,40,Yes,1
1366138,47.6779606,-122.3666471,50,Yes,1
1386808,47.6780382,-122.3718849,50,Yes,1
1386820,47.6786292,-122.3740057,47,Yes,1
1358914,47.6667207,-122.3820315,40,Yes,1
1358807,47.6643632,-122.3795899,55,Yes,1
1374611,47.6674460,-122.3790343,47,Yes,1
1374919,47.6675520,-122.3848462,55,Yes,1
1374925,47.6685943,-122.3868517,30,Yes,1
1352106,47.6086792,-122.3400402,,Yes,1
1352123,47.6087577,-122.3398034,,Yes,1
1367728,47.6098114,-122.3346896,,Yes,1
1367726,47.6098276,-122.3345397,,Yes,1
1352310,47.6099714,-122.3348172,,Yes,1
1352313,47.6101758,-122.3349955,,Yes,1
1352315,47.6103670,-122.3351865,,Yes,1
1352318,47.6104344,-122.3352438,,Yes,1
1352323,47.6104954,-122.3352878,,Yes,1
1352325,47.6104576,-122.3354885,,Yes,1
1352302,47.6104076,-122.3354447,,Yes,1
1352311,47.6100337,-122.3350988,,Yes,1
1352309,47.6099358,-122.3350081,,Yes,1
1352314,47.6097661,-122.3348633,,Yes,1
1367736,47.6094206,-122.3345345,,Yes,1
1352301,47.6093821,-122.3356169,,Yes,1
1352304,47.6095417,-122.3352194,,Yes,1
1353108,47.5369309,-122.3929551,50,Yes,1
1353225,47.5359403,-122.3919900,29,Yes,1
1353110,47.5358118,-122.3923598,55,Yes,1
1353214,47.5351666,-122.3925439,55,Yes,1
1353102,47.5348828,-122.3925406,55,Yes,1
1353322,47.5345606,-122.3925497,55,Yes,1
1353208,47.5357358,-122.3927354,35,Yes,1
1353114,47.5354514,-122.3927626,35,Yes,1
1386759,47.6791971,-122.3761076,50,Yes,1
1366345,47.6795745,-122.3762574,35,Yes,1
1403214,47.4497927,-122.3593402,50,Yes,1
1403277,47.4495809,-122.3590050,40,Yes,1
1403288,47.4507058,-122.3584887,50,Yes,1
1403194,47.4475884,-122.3638310,45,Yes,1
